parameter	type	ar	ce	cd	ch	cw	fi	fe	fa	fl	lp	os	ss	ef	cj	pg	ot	nr	sg	sp	cr	cc	er	to	hy	description of attribute
area_uncert	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	uncertainty of area in sky plane
area_unit	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	units of area in sky plane (e.g. 'arcsec2')
bound_ccnsteps	long	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	number of steps in bounding chain code (useful for coronal hole boundaries)
bound_ccstartc1	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	beginning coord1 of chain code
bound_ccstartc2	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	beginning coord2 of chain code
bound_chaincode	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	list of vertices for polygon (ordered list delimited by commas. e.g. 'x1, y1, x2, y2, x3, y3, x1, y1')
boundbox_c1ll	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coord1 of lower-left corner of bounding box
boundbox_c1ur	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coord1 of upper-right corner of bounding box
boundbox_c2ll	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coord2 of lower-left corner of bounding box
boundbox_c2ur	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coord2 of upper-right corner of bounding box
cc_axisunit	string	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	unit of measure for major and minor axes. typically rsun
cc_majoraxis	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	length of major axis of elliptical fit to cavity
cc_minoraxis	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	length of minor axis of elliptical fit to cavity
cc_tiltanglemajorfromradial	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	angle between major axis and local disk-projected radial vector, measured clockwise from radial vector.
cc_tiltangleunit	string	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	unit of measure for cc_tiltanglemaorfromradial. typicall deg.
cd_area	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	maximum area of dimming
cd_areauncert	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty of cd_area
cd_areaunit	string	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for cd_area ('millihemisphere' or 'steradians')'
cd_mass	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mass estimate calculated for dimming event
cd_massuncert	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty for cd_mass
cd_massunit	string	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for cd_mass
cd_volume	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	volume of dimming region
cd_volumeuncert	float	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty of cd_volume
cd_volumeunit	string	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for cd_volume (e.g. 'cm^3')
chaincodetype	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	req	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	type of chain code (use "ordered list")
cme_accel	float	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	acceleration of cme
cme_acceluncert	float	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty of cme acceleration
cme_accelunit	string	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for cme acceleration (e.g. 'km/s/s')
cme_angularwidth	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	angular width of cme
cme_angularwidthunit	string	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for angular width of cme (e.g. 'deg')
cme_mass	float	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mass contained in cme (e.g. '1e17')
cme_massuncert	float	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty in mass contained in cme
cme_massunit	string	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for cme mass (e.g. 'g')
cme_radiallinvel	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	radial linear fit radial velocity of cme
cme_radiallinvelmax	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	maximum linear radial velocity of cme
cme_radiallinvelmin	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mininum linear radial velocity of cme
cme_radiallinvelstddev	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	standard deviation of radial velocity of cme
cme_radiallinveluncert	float	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty in cme_radiallinvel
cme_radiallinvelunit	string	---	req	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for radial velocity of cme (e.g. 'km/s')
currentdensityunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	current density unit (e.g. 'ma/m^2')
currenthelicityunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	current helicity unit (e.g. '(g^2)/m')
currentunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	current unit (e.g. 'a')
ef_aspectratio	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	(ef_posequivradius+ef_negequivradius)/(2*ef_axislength)
ef_axislength	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	axis length of emerging flux pair at completion
ef_axisorientation	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	axis orientation of emerging flux pair (ccw from parallels in stonyhurst longitude
ef_axisorientationunit	string	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	axis oriention unit (deg)
ef_fluxunit	string	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	flux unit (e.g. 'mx')
ef_lengthunit	string	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	units for ef_axislength
ef_negequivradius	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	equivalent radius (i.e. sqrt(area/pi) of negative polarity at completion
ef_negpeakfluxonsetrate	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	emergence rate of negative polarity flux
ef_onsetrateunit	string	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	emergence rate unit (e.g. 'mx/s')
ef_posequivradius	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	equivalent radius (i.e. sqrt(area/pi) of positive polarity at completion
ef_pospeakfluxonsetrate	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	emergence rate of positive polarity flux
ef_proximityratio	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	(ef_posequivradius-ef_negequivradius)/(2*ef_axislength)
ef_sumnegsignedflux	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	total negative signed flux at completion (negative number)
ef_sumpossignedflux	float	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	total positive signed flux at completion
event_c1error	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	uncertainty in coord1 of the mean location of the event.
event_c2error	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	uncertainty in coord2 of the mean location of the event.
event_clippedspatial	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	whether the spatial extent of the event is wholly contained within the data set ('t' or 'f').
event_clippedtemporal	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	whether the temporal duration of the event is wholly contained within the data set ('t' or 'f').
event_coord1	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coordinate 1 of mean location of event
event_coord2	float	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coordinate 2 of mean location of event
event_coord3	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	coordinate 3 of mean location of event (optional. suitable for use with stereo secchi events)
event_coordsys	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	coordinate system type (choose between utc-hgs-topo [heliographics stonyhurst]; utc-hpr-topo [helioprojective]; utc-hgc-topo[heliographic carrington]; utc-hcr-topo[helio-centric radial])
event_coordunit	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	units of coordinates (e.g. "deg, deg" for utc-hgs-top0)
event_description	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	description of the event
event_endtime	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	time when event ends (e.g. 2004-02-14t02:00:01)
event_expires	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	useful for reporting events before they are complete (e.g. 2004-02-14t02:00:01)
event_importance	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	rating or importance of the event (between 0 and 1). can be used by automated methods to denote a metric.
event_mapurl	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	url to an image/intensity map
event_maskurl	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	url to files which contain masks (e.g. binary masks) of region of interest.
event_npixels	long	opt	opt	opt	opt	opt	opt	opt	opt	opt	req	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	number of pixels pertaining to event
event_peaktime	string	---	---	opt	---	opt	opt	opt	opt	req	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	peak time of a flare (e.g. '2003-02-12t23:03:01')
event_pixelunit	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	req	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	units of values given in pixels
event_probability	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	probability or confidence level that event occured (bet. 0 and 1)
event_starttime	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	time when event starts (e.g. 2004-02-14t02:00:01)
event_testflag	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	a boolean flag to indicate that the event is for testing purposes ('t' or 'f')
event_type	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	event type (e.g. 'fl: flare' or 'ar: activeregion')
fi_barbsendc1	string	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	list of coord 1 of ends of barbs (list delimited by commas for each numbered barb. e.g. 'x1, x2, x3')
fi_barbsendc2	string	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	list of coord 2 of ends of barbs (list delimited by commas for each numbered barb. e.g. 'y1, y2, y3')
fi_barbsl	integer	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	total number of left bearing barbs
fi_barbsr	integer	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	total number of right bearing barbs
fi_barbsstartc1	string	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	list of coord 1 of beginnings (closest to spine) of barbs (list delimited by commas for each numbered barb. e.g. 'x1, x2, x3')
fi_barbsstartc2	string	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	list of coord 2 of beginnings (closest to spine) of barbs (list delimited by commas for each numbered barb. e.g. 'y1, y2, y3')
fi_barbstot	integer	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	total number of filament barbs
fi_chirality	integer	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	chirality for filament (-1 for sinistral; +1 for dextral; 0 for ambiguous/uncertain)
fi_length	float	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	length of filament spine
fi_lengthunit	string	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for fi_length
fi_tilt	float	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean tilt angle (in degrees) of the filament spine (given as skel_chaincode) w.r. to solar equator
fl_efoldtime	float	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	flare e-folding time
fl_efoldtimeunit	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for fl_efoldtime (s)
fl_fluence	float	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	fluence of flare
fl_fluenceunit	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for fl_fluence (e.g. erg/cm^2)
fl_goescls	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	goes flare class (e.g. 'x11')
fl_halphaclass	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	h alpha classification (used on some yohkoh hxt)
fl_peakem	float	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	emission measure at peak time
fl_peakemunit	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for fl_peakem
fl_peakflux	float	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	flux at peak time
fl_peakfluxunit	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	peak flux unit (e.g. erg/cm^2/s)
fl_peaktemp	float	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	temperature at peak time
fl_peaktempunit	string	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	unit for fl_peaktemp (k)
freqmaxrange	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	maximum of the frequency range of oscillation
freqminrange	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	minimum of the frequency range of oscillation
freqpeakpower	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	frequency at which power spectrum peaks
frequnit	string	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	units of frequency (e.g. 'hz')
gradientunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	gradient unit (e.g. 'g/m')
gwill	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	gradient-weighted inversion-line length (mason & hoeksema 2010)
gwillunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	gwill (length) unit (e.g. 'mm')
highsheararea	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	area with shear angle greater than 45 as a percent of total area
highshearareapercent	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	area with shear angle greater than 45 as a percent of total area
highshearareaunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	area unit (e.g. 'm^2')
kb_archivdate	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	date when voevent entry was imported into knowledge base
kb_archivid	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	unique internal id of voevent entry
kb_archivist	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	name of archivist (internal. user should leave blank)
kb_archivurl	string	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	req	url of voevent entry (internal. user should leave blank)
log_r_value	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	log (unsigned flux r) (prelog value in gauss*mdi-pixels - schrijver 2007)
magfluxunit	string	opt	---	---	---	---	---	---	---	---	---	---	opt	opt	---	---	---	---	---	---	---	---	---	---	---	magnetic flux unit (e.g. 'mx')
maxmagfieldstrength	float	opt	---	---	---	---	---	---	---	---	---	---	---	opt	---	opt	opt	---	---	---	---	---	---	---	---	maximum magnetic field strength
maxmagfieldstrengthunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	opt	---	opt	opt	---	---	---	---	---	---	---	---	units for maximum magnetic field strength (e.g. 'g' or 'mx/cm2')
meancurrenthelicity	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean current helicity
meanenergydensityunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	energy density unit (e.g. 'erg/(cm^3)')
meangradienthorz	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean value of the horizontal field gradient
meangradienttotal	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean value of the total field gradient
meangradientvert	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean value of the vertical field gradient
meaninclinationgamma	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean inclination angle (gamma) (degrees)
meanphotoenergydensity	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean photospheric excess magnetic energy density
meanshearangle	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean shear angle for b_total (degrees)
meantwistalpha	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean twist parameter (alpha)
meanvertcurrentdensity	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	mean vertical current density
oscillnperiods	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	number of periods detected in oscillation
oscillnperiodsuncert	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty of number of periods detected in oscillation
outflow_length	float	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	length of outflow (can be for coronaljet or spraysurge)
outflow_lengthunit	string	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	units for length of outflow (e.g. 'arcsec')
outflow_openingangle	float	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	opening angle of outflow (in degrees)
outflow_speed	float	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	outflow speed of outflow
outflow_speedunit	string	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	units for speed (e.g. 'km/s')
outflow_transspeed	float	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	transverse speed relative to outflow direction
outflow_width	float	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	width of outflow
outflow_widthunit	string	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	opt	---	---	---	---	---	units for width of outflow (e.g. 'arcsec')
peakpower	float	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	peak power of oscillation
peakpowerunit	string	---	---	---	---	opt	---	---	---	---	---	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	units of peak power of oscillation
rasterscan	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	field for ascii string of raster scan
rasterscantype	string	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	type of raster scan (e.g. "egso_sfc" if you are using the egso solar feature catalogue convection for the raster scan)
savncpp	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	sum of the absolute value of the net currents per polarity (savncpp)
sg_aspectratio	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	tbd
sg_chirality	integer	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	chirality of sigmoid (-1 for sinistral; +1 for dextral; 0 for ambiguous/uncertain)
sg_meancontrast	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	tbd
sg_orientation	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	angular rotation (ccw in degrees) of the main axis of the sigmoid to the active region
sg_peakcontrast	float	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	tbd
sg_shape	string	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	opt	---	---	---	---	---	---	shape of sigmoid
sharp_noaa_ars	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	comma separated list of noaa_ars within lat/lon bounding box. can include ones without noaa# at time of event.
skel_chaincode	string	---	---	---	opt	---	opt	opt	opt	opt	req	---	---	---	opt	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	skeleton code. a skeleton code is like a chain code except it isn't closed. (ordered list delimited by commas. e.g. 'x1, y1, x2, y2, x3, y3')
